;fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality
425;;0.84;;2.3;0.059;;;;;;12.3;
426;;0.67;0.08;;;;;0.9949;3.49;;;
427;9.5;0.78;;1.9;;6.0;32.0;;;;;
428;9.1;0.52;0.33;1.3;;9.0;;0.9978;;0.6;;
429;;;;;0.088;;35.0;;;0.6;;6.0
430;10.5;0.24;;2.1;;6.0;;;3.15;0.9;;7.0
431;;0.55;;2.2;;;;;3.25;0.56;;5.0
432;11.9;0.37;;;0.078;;;;3.0;;;
433;12.3;0.39;;2.3;0.091;6.0;18.0;;;;9.5;5.0
434;10.4;0.41;0.55;;0.076;22.0;54.0;;3.15;0.89;;
435;12.3;0.39;;2.3;;6.0;;;;;;5.0
436;8.0;;0.3;;;;62.0;0.9958;3.26;0.56;;6.0
437;11.1;;;;0.066;6.0;22.0;0.9986;;;11.2;6.0
438;10.4;0.41;0.55;;0.076;;54.0;;;;;6.0
439;;0.62;0.18;;;7.0;50.0;;;;9.3;5.0
440;;;0.72;2.2;0.072;;;0.9987;2.88;;;8.0
441;11.9;0.4;0.65;;0.068;;;0.9988;3.06;;;
442;;;;3.7;;;43.0;1.0032;;0.68;11.2;
443;10.0;0.44;;;0.077;11.0;19.0;;;0.63;11.6;
444;5.3;0.57;;;;;;0.9934;;;;7.0
445;9.5;0.735;0.1;2.1;0.079;;;0.9986;;;;
446;;0.38;0.6;2.6;0.081;;;;;;10.5;5.0
447;;;0.29;2.1;;6.0;16.0;;;;11.2;5.0
448;;;;2.0;;7.0;;0.9967;;;10.2;
449;11.9;;;2.8;;;;0.9994;;0.61;10.8;6.0
450;;;;2.8;0.095;;35.0;0.9994;3.1;0.61;;
451;8.4;;0.53;1.8;0.413;9.0;;;;1.06;9.1;6.0
452;6.8;0.56;;;;;;0.9968;3.44;0.63;10.0;6.0
453;;0.33;0.63;2.8;0.084;5.0;;;;;;
454;7.0;0.23;;;0.063;;;;;;11.1;5.0
455;11.3;;0.67;;0.086;;;0.9988;3.22;;13.4;
456;8.9;0.59;0.39;2.3;;5.0;;;;0.58;10.3;
457;;0.63;0.21;2.7;0.097;29.0;;;;;;5.0
458;;;;2.8;0.084;5.0;;;3.26;;;
459;11.6;0.58;0.66;;0.074;10.0;;;;;;
460;;;0.52;;;14.0;23.0;;;0.61;11.3;6.0
461;8.3;;;2.6;;;19.0;0.9982;3.26;;9.3;
462;;;0.68;;;;25.0;0.997;;;11.8;5.0
463;8.1;0.66;0.7;2.2;0.098;;;0.9972;;0.53;9.0;
464;;0.315;;2.1;;5.0;15.0;0.9987;2.98;;;6.0
465;;;;2.9;;;;1.0006;;;9.7;
466;;0.5;0.42;2.0;0.069;;;;3.16;0.72;11.5;
467;;;0.45;;;;18.0;;3.32;;14.0;6.0
468;11.4;0.36;;2.1;0.09;;;1.0;3.17;;9.2;
469;;;;1.2;0.07;;48.0;;;0.58;9.8;
470;;0.32;0.65;;;;;;;0.61;;5.0
471;9.6;0.54;0.42;;0.081;;52.0;;3.2;0.71;11.4;6.0
472;;;0.55;2.6;0.083;;68.0;0.9995;;0.82;;6.0
473;;0.35;;2.1;0.062;5.0;14.0;0.9971;3.26;0.79;10.6;5.0
474;10.5;;;;0.08;;24.0;0.9982;3.2;0.89;9.4;
475;;;;2.2;;5.0;;0.9988;;0.6;10.2;5.0
476;9.3;;0.41;2.0;;6.0;16.0;;;;9.7;
477;10.4;0.24;;;;;;;3.18;1.06;;6.0
478;9.6;;0.24;2.2;0.087;5.0;28.0;;3.14;;10.2;
479;;;0.11;2.7;;;;;;;10.1;
480;10.6;;;15.5;0.069;;23.0;;;;;
481;;0.3;;2.8;0.08;6.0;;0.9964;3.15;0.92;11.7;8.0
482;;0.36;0.59;2.2;0.152;;;0.9986;;1.05;;
483;;;0.6;2.2;;7.0;18.0;0.9986;;1.06;9.4;
484;;;;;0.114;;;0.997;;;13.4;
485;10.2;;0.39;;0.054;6.0;;0.9976;3.17;;10.0;
486;;;0.39;1.9;;6.0;;0.9976;;;10.0;
487;;;0.36;;;;14.0;0.9982;3.17;;10.0;
488;;0.32;;2.8;;35.0;;1.0002;;;;7.0
489;9.3;;0.4;;0.073;;;0.9984;;0.75;10.2;
490;9.3;;;;;24.0;56.0;0.9984;;0.67;;6.0
491;9.2;0.41;0.5;;;12.0;25.0;0.9952;;;;
492;8.9;0.4;0.51;;0.052;13.0;;0.995;;0.9;;
493;;0.69;;;;;;1.0002;3.48;;;6.0
494;;0.39;0.23;;0.051;28.0;;;3.44;;;6.0
495;10.7;0.35;0.53;2.6;;5.0;16.0;;3.15;0.65;;
496;7.8;0.52;0.25;;;14.0;;;;0.65;;6.0
497;;0.34;0.32;;;;;;3.32;;;5.0
498;;;0.53;;0.07;;;;3.15;0.65;;
499;;0.69;;;;;;1.0002;3.48;0.74;11.6;6.0
500;7.8;;;1.9;0.081;;;;3.43;;;
501;10.4;;;;0.074;;76.0;0.999;;;12.0;
502;10.4;;0.73;6.55;;38.0;76.0;;;0.85;12.0;7.0
503;;;0.47;1.9;0.078;6.0;;0.9976;3.18;1.04;10.9;
504;10.5;;;1.8;;;22.0;;;;10.8;
505;10.2;;0.63;;;10.0;26.0;0.9968;;;;
506;10.4;;0.46;1.8;0.075;;21.0;0.9976;3.25;1.02;;
507;11.2;0.67;0.55;;;;13.0;1.0;;;;
508;10.0;0.59;0.31;;;26.0;;0.9994;;0.63;;
509;13.3;;;2.8;0.084;23.0;;;;0.68;;7.0
510;;;;;0.073;19.0;43.0;0.9978;;;;
511;10.0;0.59;0.31;;0.09;;62.0;;;;10.2;
512;10.7;0.4;;2.1;;;49.0;0.998;3.03;0.81;;
513;10.5;0.51;;;0.107;6.0;;;3.09;0.66;;7.0
514;;0.51;0.64;;0.107;;;;;;11.8;7.0
515;8.5;;0.49;;;;151.0;1.001;;1.14;9.3;
516;;;0.49;4.3;;5.0;;1.001;;;11.9;
517;;;0.49;2.1;;5.0;16.0;0.9994;;0.63;;3.0
518;;;0.49;2.8;0.088;;32.0;0.9972;3.22;;;6.0
519;;;;2.5;;39.0;;0.9966;3.36;0.78;11.0;5.0
520;9.8;;;2.7;0.088;;33.0;;;0.9;;6.0
521;;;;;0.088;16.0;;0.998;3.48;0.64;;5.0
522;;;0.49;2.3;;;133.0;;;0.99;;
523;9.3;0.4;;;0.085;;142.0;0.9978;3.22;0.55;;
524;9.2;;;;;23.0;;;;0.64;9.5;
525;;;;2.8;0.105;;53.0;0.9998;;0.67;9.9;
526;7.3;0.365;0.49;;0.088;;106.0;;3.36;;;5.0
527;7.0;0.38;0.49;2.5;0.097;;85.0;;;0.77;;6.0
528;;0.42;0.49;2.6;0.084;;;0.9988;3.34;;8.7;
529;;;;;;;33.0;0.9974;;0.57;;5.0
530;;;;2.1;0.078;;;0.999;3.41;0.87;10.3;6.0
531;;;0.49;;;;42.0;1.0004;3.16;0.61;10.3;5.0
532;11.9;0.38;0.49;;;;;1.0004;;0.61;;
533;10.3;0.27;;;0.072;;;;3.22;0.66;;
534;10.0;;;;;;32.0;1.0;3.28;0.56;;
535;;;0.24;2.1;;1.0;28.0;;;0.87;10.3;6.0
536;9.9;;;2.4;0.077;6.0;33.0;;3.09;0.57;9.4;5.0
537;8.1;0.825;0.24;2.1;0.084;5.0;13.0;;;0.77;10.7;
538;12.9;0.35;0.49;;;5.0;35.0;1.0014;;0.66;12.0;7.0
539;11.2;;;;;5.0;;0.9996;3.22;;11.2;5.0
540;9.2;0.59;;;;20.0;47.0;0.9988;;0.67;9.6;
541;;;;6.3;0.064;5.0;17.0;;3.21;0.73;;6.0
542;9.3;0.715;0.24;;;5.0;;;;0.59;;5.0
543;11.2;0.66;0.24;;0.085;16.0;;0.9993;3.06;;;
544;;0.31;0.74;;;;;1.0008;;0.79;;
545;9.1;0.47;;;;;106.0;;3.08;;9.1;5.0
546;;0.55;0.24;2.0;0.078;;28.0;0.9983;3.45;;9.5;
547;;0.31;0.49;;0.067;;21.0;0.9987;;0.86;10.7;
548;12.4;;0.49;;0.079;27.0;;0.9994;3.12;;10.4;6.0
549;;;;;0.171;;;0.9975;3.27;0.61;9.4;6.0
550;;;;2.1;0.074;;25.0;0.9958;3.33;0.56;;6.0
551;;0.43;;;;;45.0;;3.19;;10.0;6.0
552;9.5;;;2.7;;14.0;44.0;0.998;;;10.0;
553;;;0.24;;;;96.0;;3.74;0.62;11.5;5.0
554;;;0.49;4.2;0.095;;23.0;;2.92;;;
555;15.5;0.645;0.49;;0.095;10.0;23.0;;;0.74;;5.0
556;10.9;0.53;;;;;17.0;1.0002;3.07;0.56;;6.0
557;;0.645;;;0.095;10.0;;1.00315;2.92;;;
558;;;;4.6;0.118;10.0;;;3.07;;;6.0
559;13.0;;;4.3;0.085;;;;;0.68;12.7;
560;;;0.49;;;5.0;;0.9994;;;;
561;;;0.49;;;26.0;121.0;0.9978;3.23;;9.2;5.0
562;9.0;0.54;;2.9;0.094;41.0;;0.9982;;0.61;9.2;
563;;;;;0.092;25.0;;;3.31;;10.1;
564;13.0;;0.49;;;6.0;;1.0021;3.3;;;
565;12.7;0.6;0.49;2.8;;5.0;19.0;;;0.57;11.4;5.0
566;8.7;;0.24;2.5;0.226;5.0;;0.9991;;0.6;9.0;6.0
567;;;;;0.226;5.0;;;;0.6;;6.0
568;;0.5;;2.6;;5.0;;0.999;;0.79;;6.0
569;6.2;0.36;;2.2;;;42.0;;3.57;0.57;;6.0
570;;0.35;0.49;;;10.0;37.0;;;0.91;11.0;6.0
571;;;;2.2;;;;;;;;6.0
572;10.2;;0.49;2.4;0.075;10.0;;;;;10.4;
573;;0.59;;;0.07;14.0;;;3.3;0.56;9.6;
574;;0.34;;;;;;0.9992;;0.7;10.0;6.0
575;;;;3.1;;;;0.9993;;;10.2;
576;;0.5;;;;6.0;;0.9978;;0.52;;
577;;0.44;0.49;2.8;;;;;3.3;0.6;;5.0
578;;0.47;0.49;;0.085;17.0;;0.9982;;0.6;9.8;
579;10.6;0.31;0.49;;;;;0.9976;3.14;;9.8;
580;;;;;0.089;;;;3.19;0.44;9.6;5.0
581;12.3;0.5;;;0.089;5.0;14.0;;;;9.6;5.0
582;;0.49;;;;5.0;15.0;;3.19;;;5.0
583;12.0;0.28;;1.9;;;;;2.98;;9.9;7.0
584;;;0.49;3.4;;54.0;80.0;;;;;7.0
585;7.6;;;2.4;0.091;8.0;38.0;0.998;3.47;;;6.0
586;;;;2.7;;16.0;;0.9986;3.12;1.02;10.6;
587;;;0.24;;0.108;18.0;102.0;0.9967;3.26;0.59;;
588;;;;;;;;0.9917;3.72;0.74;;8.0
589;;0.29;;2.6;;;13.0;0.9976;;0.74;10.5;7.0
590;;0.45;;2.6;0.084;21.0;75.0;;3.35;;;
591;;0.39;0.49;;;23.0;149.0;;3.12;;;
592;;0.45;0.49;2.6;;;75.0;0.9987;3.35;;9.7;5.0
593;;;;;;9.0;;;3.29;;;
594;;;;2.6;;20.0;38.0;;;;;5.0
595;;0.595;;7.9;0.086;;109.0;0.9998;;0.57;;
596;12.4;;0.51;;;;;;3.04;;9.3;
597;11.9;0.58;;;;;;;;;10.0;
598;8.5;0.585;0.18;;0.078;5.0;30.0;0.9967;3.2;0.48;9.8;6.0
599;12.7;;0.45;2.3;0.082;11.0;22.0;;;0.7;;
600;;;0.27;2.1;;7.0;23.0;0.9962;3.26;0.47;;
601;13.2;0.46;0.52;;;12.0;35.0;1.0006;;0.56;;6.0
602;;;0.0;;0.081;;14.0;0.9975;3.3;0.52;9.3;5.0
603;13.2;;;;0.071;;;;3.1;0.56;9.0;6.0
604;;;0.13;;0.096;14.0;63.0;;3.17;0.62;9.1;
605;8.3;;;;;;;0.9984;;0.59;9.2;6.0
606;;0.41;;;;;20.0;0.9973;;0.79;12.2;
607;;0.48;;;;26.0;52.0;;3.31;;10.5;6.0
608;;0.65;;;0.11;11.0;;;3.32;;10.4;6.0
609;;;;;;15.0;39.0;;;0.52;;
610;8.8;0.24;0.54;;;25.0;;;;;9.2;5.0
611;13.2;;0.55;2.7;0.081;;;;2.98;0.54;9.4;
612;7.5;0.64;0.0;;0.077;18.0;29.0;;3.32;;10.0;6.0
613;;;;;0.058;10.0;;;;0.74;;5.0
614;;0.755;0.18;;0.148;10.0;103.0;;2.87;;10.2;6.0
615;9.6;0.6;;;0.079;28.0;71.0;0.9997;3.5;0.57;;
616;9.6;0.6;;2.3;0.079;;;0.9997;;;;
617;11.5;0.31;0.51;;0.079;;;;;;;6.0
618;;0.46;0.5;2.7;;4.0;;;;0.7;10.2;5.0
619;11.3;;;2.3;;6.0;16.0;;;;9.3;5.0
620;8.3;;0.24;;0.076;16.0;;;3.27;0.61;;
621;8.2;0.56;0.23;;0.078;14.0;;;;;;
622;10.0;0.58;0.22;1.9;;;32.0;0.9974;3.13;;;5.0
623;7.9;0.51;0.25;2.9;;;;0.9974;3.49;;12.1;6.0
624;;;0.0;;0.124;21.0;;0.9997;3.46;0.72;;5.0
625;;0.69;;;;21.0;;;3.46;;10.2;
626;;;;2.2;0.098;5.0;;;;;;
627;;0.6;;2.2;0.098;;;0.9988;3.36;;9.1;5.0
628;;;;;;7.0;;0.9976;3.27;;9.3;
629;7.6;0.685;0.23;;0.111;20.0;;0.9964;;0.61;;5.0
630;;;0.26;2.5;;7.0;;;3.27;;9.3;6.0
631;;;0.54;;;5.0;;;;;;5.0
632;;;0.14;3.0;;21.0;43.0;0.9964;;0.57;10.5;6.0
633;;0.935;0.22;;0.105;11.0;86.0;1.001;;;;
634;7.9;0.35;0.21;;0.073;;;0.9964;;;9.5;5.0
635;;;0.0;1.4;0.065;;33.0;;3.27;;9.7;5.0
636;;;0.28;;;;;;;0.53;9.4;5.0
637;;0.885;0.27;2.3;0.084;31.0;145.0;0.9978;;;;5.0
638;;0.915;;2.2;0.143;7.0;;;;;10.2;7.0
639;8.9;0.29;;1.9;0.067;;;0.997;3.18;;;
640;;0.54;;;0.071;16.0;;;;;9.4;5.0
641;;0.59;0.44;;0.071;;;0.9992;3.46;0.63;;5.0
642;9.9;;;2.3;;;40.0;;;0.62;;
643;9.5;0.59;0.44;2.3;0.071;;68.0;;3.46;;9.5;
644;;;0.45;2.3;0.071;16.0;;0.9991;3.39;0.62;9.4;5.0
645;7.8;0.64;;;;5.0;11.0;;;0.69;10.1;
646;;0.67;0.05;3.6;0.107;6.0;20.0;0.9972;;0.63;10.1;
647;;;;2.2;0.07;5.0;14.0;0.9967;3.32;0.58;;4.0
648;8.7;;0.3;2.8;0.066;;;0.9964;3.33;0.67;11.2;7.0
649;6.7;0.42;;;;24.0;148.0;;;0.57;;6.0
650;10.7;0.43;0.39;2.2;0.106;8.0;;;2.89;0.5;9.6;5.0
651;;;0.25;;0.104;;155.0;;;;;
652;15.9;;0.65;7.5;0.096;22.0;71.0;;2.98;;;
653;9.4;;0.59;2.8;;9.0;30.0;;;0.54;12.0;
654;;0.47;;2.4;0.074;7.0;;0.9979;3.08;;9.5;5.0
655;;0.55;0.17;;;;53.0;1.0004;3.14;;9.4;
656;;0.43;;2.2;;8.0;;;2.89;0.5;9.6;5.0
657;12.0;0.5;;;;;;0.998;;0.68;10.5;7.0
658;;0.52;;;;5.0;;;;0.81;;
659;7.1;0.84;;4.4;0.096;5.0;13.0;;3.41;0.57;11.0;
660;;;;;0.074;5.0;20.0;0.9973;3.32;0.81;;6.0
661;7.5;0.42;0.31;1.6;0.08;15.0;;;;;;
662;7.2;0.57;0.06;1.6;;9.0;27.0;0.9972;3.36;0.7;9.6;
663;;;;1.8;;;13.0;;3.04;;10.2;
664;12.1;;;2.0;;15.0;;1.0;;;;5.0
665;;;;;;25.0;48.0;0.9981;;;;
666;;;0.36;1.8;0.222;;16.0;;;;;
667;;0.34;0.45;;0.082;6.0;15.0;;2.94;0.66;;
668;10.0;0.73;0.43;2.3;;15.0;31.0;;;0.57;11.0;5.0
669;11.3;0.34;;;;;15.0;;2.94;0.66;9.2;
670;6.9;0.4;0.24;2.5;0.083;30.0;;0.9959;;;;
671;;;;1.7;0.074;;;;3.2;0.52;;
672;9.8;1.24;0.34;2.0;0.079;;;0.998;;0.53;9.5;5.0
673;;0.73;0.21;;0.074;;13.0;0.9968;3.2;0.52;9.5;
674;;0.4;;;;;;0.9984;;0.67;;6.0
675;9.3;;;2.2;;;31.0;;;0.65;;
676;;0.4;;2.2;0.084;7.0;17.0;;3.08;0.67;9.3;6.0
677;;;0.11;2.3;;;31.0;;3.4;;;
678;;;;2.6;;45.0;87.0;;;;10.0;
679;;0.26;;;;;;;;0.54;;
680;13.3;0.43;;;0.07;15.0;40.0;;3.06;0.49;;
681;8.0;0.45;0.23;;;16.0;29.0;;;0.49;;6.0
682;;;0.31;;0.078;32.0;58.0;0.998;;;9.8;
683;8.1;;0.23;;;;;0.997;;;11.3;5.0
684;9.8;;0.32;;0.078;;;;;;;
685;8.1;;0.23;;;5.0;15.0;0.997;;0.56;;5.0
686;7.1;;;1.8;0.07;13.0;40.0;0.997;;;9.1;
687;;0.64;;;;13.0;38.0;0.9998;3.28;;9.7;5.0
688;;0.66;;;0.039;;9.0;0.9962;3.4;;9.4;5.0
689;8.1;;;1.8;;5.0;;;3.3;;9.4;
690;7.4;1.185;0.0;4.25;;;;;;0.54;;
691;;0.92;0.24;2.6;0.087;12.0;93.0;;;;9.8;
692;8.6;;0.51;2.0;0.422;;62.0;;3.03;;9.0;5.0
693;9.0;;0.32;2.8;0.084;21.0;122.0;0.9984;3.32;;;
694;9.0;0.47;0.31;2.7;0.084;24.0;125.0;0.9984;3.31;0.61;;
695;5.1;0.47;0.02;;0.034;;;0.9921;;0.62;12.8;6.0
696;;0.65;;;;;25.0;;3.47;0.67;9.5;
697;;0.65;0.02;;0.066;8.0;;0.9972;;;9.5;6.0
698;;0.615;;;;;72.0;1.0001;3.31;;9.7;
699;;0.38;;2.1;;5.0;;0.9986;3.11;0.62;;
700;;;0.43;;;26.0;88.0;;3.08;;;6.0
701;7.0;0.65;;;;;;0.9972;;0.67;;
702;7.0;;;2.1;;9.0;;0.997;;;9.4;6.0
703;;0.38;0.48;;0.073;;;0.9972;3.32;;9.6;
704;9.1;;;;;4.0;;;3.29;0.54;;
705;8.4;1.035;;6.0;;;;;3.37;;9.9;5.0
706;;;;;;;19.0;;;;10.0;5.0
707;;;0.19;;;16.0;;;3.37;0.51;;
708;7.8;0.545;0.12;2.5;;;;;;;;
709;9.7;;;1.6;0.062;;33.0;0.9983;;;10.0;6.0
710;;;;2.8;0.08;21.0;84.0;;;;10.1;
711;8.9;;0.34;3.0;;16.0;;0.9998;;0.61;;5.0
712;8.7;0.69;;3.2;;;33.0;;3.36;;9.4;
713;8.0;;;;;10.0;48.0;;3.34;;;5.0
714;;0.74;;2.6;0.078;;;0.998;3.28;0.51;;
715;;;0.18;;;;34.0;;;;9.2;
716;8.0;0.43;;;0.075;10.0;;0.9976;3.34;0.46;;5.0
717;7.6;;;;;;49.0;0.9968;3.21;;;5.0
718;8.4;;0.04;2.0;0.082;;;0.9976;3.22;0.44;;
719;;;0.0;3.9;0.086;;45.0;0.9976;3.46;;;5.0
720;;0.56;;2.0;;;;0.9976;;0.44;9.6;5.0
721;8.9;;0.24;;;35.0;106.0;0.9982;;;;
722;7.6;0.42;;;0.084;;48.0;;3.21;;10.0;5.0
723;;;0.3;2.2;0.053;36.0;;0.9965;;1.62;9.5;5.0
724;7.5;;0.1;;0.086;5.0;;;3.54;;;
725;;0.66;0.17;3.0;0.077;;13.0;;3.29;0.55;10.4;
726;8.1;0.72;0.09;2.8;0.084;18.0;49.0;0.9994;3.43;;;
727;;;;;0.067;;;;;;;
728;6.4;;0.02;;;4.0;;;;;;5.0
729;6.4;0.865;;;;;;;;0.49;;6.0
730;;0.55;;;0.387;12.0;;;;;;
731;;0.875;;;0.088;;14.0;;3.44;0.52;11.5;5.0
732;;0.835;0.03;2.1;0.092;;19.0;;3.39;;9.6;5.0
733;;0.45;0.34;2.7;;;72.0;;3.55;;;5.0
734;;0.56;;;0.075;9.0;39.0;0.9987;3.48;;9.3;
735;7.7;0.965;0.1;2.1;;11.0;22.0;;3.26;0.5;9.5;5.0
736;;;0.1;;0.112;;;0.9963;3.26;;;
737;;0.59;0.0;;;;58.0;1.0002;3.5;0.65;9.3;
738;;0.46;0.23;2.8;0.092;28.0;;;3.1;0.56;;
739;9.0;;0.0;;;19.0;38.0;;;;;
740;8.3;;;4.2;0.075;;16.0;;;0.68;;
741;9.2;0.53;0.24;2.6;;;;0.99788;;0.57;9.5;5.0
742;;0.615;;;;;18.0;0.9972;;;9.2;5.0
743;11.6;0.41;0.58;2.8;;;;;;0.53;;
744;;;0.54;2.7;0.095;;;;;0.51;9.5;
745;7.3;0.51;;2.1;;;28.0;0.99768;;;;6.0
746;8.2;0.34;0.38;2.5;0.08;;;0.9978;;;;
747;8.6;;;;;16.0;68.0;;;;;5.0
748;7.2;0.5;0.18;;0.071;12.0;;0.99761;;0.72;9.6;
749;;;;2.1;;;;;;0.73;;
750;;0.65;0.1;2.9;0.089;17.0;;;3.29;;9.5;5.0
751;;0.65;;;0.089;17.0;40.0;;3.29;;;5.0
752;;;;2.5;;;;;3.39;0.61;9.4;
753;8.3;;0.1;2.9;;;;0.99803;3.29;;;
754;7.8;0.48;0.68;1.7;0.415;14.0;;0.99656;;1.06;9.1;6.0
755;7.8;0.91;;1.9;0.058;;;0.99525;;0.43;;6.0
756;6.3;;0.01;;;15.0;;0.99488;;;;6.0
757;8.1;0.87;0.0;2.2;0.084;;;0.99656;;0.5;9.8;5.0
758;8.1;;0.0;2.2;0.084;10.0;31.0;0.99656;;0.5;;5.0
759;8.8;0.42;0.21;;;;;;;0.52;;
760;9.0;;;2.8;;;104.0;;3.23;;9.7;
761;;0.655;;;;5.0;35.0;0.99738;;;;5.0
762;8.8;;0.0;;0.069;8.0;19.0;0.99701;3.31;;;
763;;0.655;0.26;2.0;;5.0;35.0;0.99738;3.25;0.42;;5.0
764;;0.68;;;0.093;;44.0;0.99888;3.31;;;
765;9.2;;;;0.091;;48.0;0.99888;;;;
766;8.8;;0.18;2.9;;12.0;74.0;;3.14;0.54;;
767;;;0.32;;;13.0;;;3.45;;;5.0
768;7.1;0.59;0.02;;0.082;24.0;;;3.55;0.53;;
769;;;0.01;1.9;;;32.0;0.99668;;0.54;9.6;
770;;0.59;0.02;;;;94.0;;;;9.7;6.0
771;9.4;;0.26;;;;;;3.28;0.55;;
772;9.5;;0.27;2.3;;23.0;144.0;;3.27;;9.4;5.0
773;;;0.29;;0.157;;;;3.3;;;6.0
774;7.9;;0.3;;0.157;;45.0;;;;;6.0
775;;;;3.0;;;16.0;0.99586;3.43;0.46;;
776;;;0.18;;0.243;5.5;48.0;;3.4;0.6;;
777;6.9;0.635;0.17;;;6.0;18.0;0.9961;3.4;;10.3;
778;8.3;0.43;0.3;3.4;;7.0;34.0;0.99788;3.36;;;
779;7.1;;;2.6;;;92.0;0.99745;3.5;0.6;9.8;
780;;;0.0;;0.19;;45.0;;3.31;0.6;9.4;6.0
781;6.5;0.46;;;0.114;;;0.99732;;;9.8;5.0
782;9.0;;;;0.081;;;0.99814;;;;5.0
783;6.5;0.46;;;;;;;;;9.8;
784;;0.59;;2.5;;;;;;;9.8;5.0
785;9.9;;0.41;;;11.0;61.0;;3.21;0.5;;
786;;0.35;;;;11.0;;;;;;5.0
787;;;0.24;;0.079;19.0;58.0;;3.18;0.56;;6.0
788;;0.56;;2.2;0.079;;58.0;0.9991;3.18;0.56;;
789;8.6;0.63;0.17;2.9;0.099;;;;;;;5.0
790;7.4;0.37;;;;;82.0;;;0.68;9.7;
791;;0.64;;2.9;0.084;25.0;130.0;0.99818;3.23;;9.6;5.0
792;7.1;;;2.5;;;87.0;;;;;6.0
793;;;0.0;;;7.0;13.0;;;;;
794;10.1;0.27;0.54;;0.065;7.0;26.0;0.99531;;0.53;;
795;10.8;;;2.6;0.132;;60.0;;2.99;;;5.0
796;;;0.31;;0.126;;64.0;0.99746;;0.74;9.6;
797;9.3;;;;;21.0;42.0;;;;;
798;;;;;0.082;5.0;14.0;;3.29;0.52;10.7;
799;;;0.34;;;;;0.9987;;;10.7;
800;;;;;0.082;26.0;108.0;;3.25;;9.4;
801;8.6;0.55;0.09;;;;17.0;;3.23;;;
802;5.1;;;1.7;;14.0;;0.99264;;;12.9;
803;7.7;0.56;0.08;;;;46.0;;;0.66;;6.0
804;;0.52;;2.7;0.084;;18.0;0.99682;;;9.9;6.0
805;8.2;;;;;;10.0;;;;;
806;8.4;;;;;4.0;10.0;0.99386;3.27;;12.5;
807;8.2;0.28;;2.4;;;10.0;0.99356;;;;7.0
808;7.4;0.53;0.12;;;4.0;12.0;;;0.86;9.2;5.0
809;;;;;;;;0.99693;;0.55;;6.0
810;7.3;0.49;;;;;;;;;;5.0
811;12.9;0.5;;2.8;;;24.0;;;0.68;10.9;6.0
812;;0.45;;;0.099;20.0;38.0;0.99818;;;;
813;;;;2.1;0.102;4.0;;;3.44;0.58;11.4;4.0
814;12.6;0.41;0.54;2.8;0.103;;41.0;;;;;
815;10.8;;;;0.099;;38.0;0.99818;;;;5.0
816;9.8;0.51;0.19;;0.081;8.0;;0.9984;;0.58;;6.0
817;;0.29;0.42;;0.084;19.0;27.0;0.99545;3.28;;;6.0
818;;0.715;;;;21.0;;0.99632;3.29;0.45;9.4;5.0
819;9.1;0.66;;;0.097;9.0;59.0;0.99976;3.28;0.54;9.6;
820;7.0;;;1.9;0.099;;22.0;;3.34;0.6;9.7;5.0
821;4.9;0.42;;2.1;;;;0.99154;;0.74;14.0;
822;;;;2.0;0.076;;;0.9973;3.61;;9.8;5.0
823;;;0.13;2.0;;15.0;;0.9973;;;9.8;5.0
824;;;;2.8;;6.0;;;3.24;;;5.0
825;;0.46;0.14;;0.076;;;0.99624;;0.49;;
826;;;0.34;2.3;0.05;4.0;8.0;;3.4;;11.0;7.0
827;;0.46;;2.8;;;;0.99624;;0.49;10.7;
828;7.8;;0.09;2.3;0.065;;45.0;;3.46;;;8.0
829;5.9;;;;;;;0.99376;;;11.1;
830;;;0.07;;0.058;5.0;;;;;;
831;;0.61;;2.1;0.071;16.0;24.0;;;0.77;11.1;6.0
832;10.4;;;1.5;0.145;;48.0;;;0.86;9.9;
833;;;0.44;;0.147;;;0.99836;;0.86;;4.0
834;;;0.26;1.6;0.088;16.0;23.0;0.99694;3.32;;9.4;
835;7.6;;0.1;;0.066;;55.0;0.99655;;0.51;9.3;5.0
836;6.7;;;;;36.0;;0.99064;3.26;;11.7;
837;6.7;;0.28;;;36.0;100.0;;3.26;;11.7;7.0
838;10.1;0.31;0.35;1.6;;;;0.99672;;0.83;11.2;
839;6.0;;0.04;;;;26.0;;;0.47;;5.0
840;11.1;;0.47;2.65;0.085;;34.0;0.99736;;0.77;12.1;
841;6.6;;0.0;3.0;;;31.0;;3.45;;10.3;5.0
842;;;0.45;;0.119;34.0;68.0;;;;10.9;6.0
843;7.1;0.685;0.35;2.0;0.088;9.0;92.0;;3.28;;;
844;9.9;0.25;;;;;42.0;;;;;
845;6.4;0.64;0.21;;0.081;;31.0;0.99689;3.59;;;5.0
846;;0.64;;;0.081;;31.0;0.99689;;0.66;9.8;
847;7.4;0.68;0.16;1.8;0.078;;;0.9977;3.5;;9.9;6.0
848;;;;;0.081;14.0;;0.99689;;0.66;9.8;5.0
849;6.4;;;1.6;0.08;12.0;;0.99689;;;;
850;9.3;0.43;;;0.085;;;0.99708;3.28;0.55;9.5;5.0
851;;0.43;;;;;22.0;0.99708;3.28;;;
852;8.0;;;2.5;;;;0.99801;;1.07;9.7;
853;;0.36;;1.5;;41.0;;;3.47;0.73;;
